á	a u
klúðra	kʰ l u ð r a
klúðrinu	kʰ l u ð r ɪ n ʏ
klúður	kʰ l u ð ʏ r
klukkan	kʰ l ʏ h k a n
klukkubergi	kʰ l ʏ h k ʏ p ɛ r c ɪ
klukkufelli	kʰ l ʏ h k ʏ f ɛ t l ɪ
klukkuholti	kʰ l ʏ h k ʏ h ɔ l̥ t ɪ
klukkunni	kʰ l ʏ h k ʏ n ɪ
klukkurima	kʰ l ʏ h k ʏ r ɪ m a
klukkustund	kʰ l ʏ h k ʏ s t ʏ n t
klukkustunda	kʰ l ʏ h k ʏ s t ʏ n t a
klukkustundir	kʰ l ʏ h k ʏ s t ʏ n t ɪ r
klukkutíma	kʰ l ʏ h k ʏ tʰ i m a
klukkuvöllum	kʰ l ʏ h k ʏ v œ t l ʏ m
klúku	kʰ l u k ʏ
klúr	kʰ l u r
klýfi	kʰ l i v ɪ
klyfjaðir	kʰ l ɪ v j a ð ɪ r
klyfjaseli	kʰ l ɪ v j a s ɛ l ɪ
knæpu	kʰ n a i p ʏ
knæpum	kʰ n a i p ʏ m
knarrarnesi	kʰ n a r a r t n ɛ s ɪ
knarrarstíg	kʰ n a r a r̥ s t i ɣ
knarrarvogi	kʰ n a r a r v ɔ j ɪ
knattspyrna	kʰ n a h t s p ɪ r t n a
knattspyrnu	kʰ n a h t s p ɪ r t n ʏ
knattspyrnuleikir	kʰ n a h t s p ɪ r t n ʏ l e i c ɪ r
knattspyrnumaður	kʰ n a h t s p ɪ r t n ʏ m a ð ʏ r
knattspyrnunnar	kʰ n a h t s p ɪ r t n ʏ n a r
knattspyrnustjóri	kʰ n a h t s p ɪ r t n ʏ s t j o u r ɪ
knerri	kʰ n ɛ r ɪ
knörr	kʰ n œ r
knútshúsi	kʰ n u t s h u s ɪ
knútsstöðum	kʰ n u t s s t œ ð ʏ m
knútur	kʰ n u t ʏ r
köben	kʰ œ p ɛ n
koðrán	kʰ ɔ ð r a u n
kóf	kʰ o u v
kofaveggina	kʰ ɔ v a v ɛ c ɪ n a
kofforti	kʰ ɔ f ɔ r̥ t ɪ
kófinu	kʰ o u f ɪ n ʏ
köflum	kʰ œ p l ʏ m
köfun	kʰ œ v ʏ n
kögunarhæð	kʰ œ ɣ ʏ n a r h a i ð
kögurseli	kʰ œ ɣ ʏ r̥ s ɛ l ɪ
kojum	kʰ ɔ j ʏ m
kók	kʰ o u k
kókaín	kʰ o u k a i n
kókaíni	kʰ o u k a i n ɪ
kókaínið	kʰ o u k a i n ɪ ð
kókaíns	kʰ o u k a i n s
kókaínsmygl	kʰ o u k a i n s m ɪ k l
kokka	kʰ ɔ h k a
kokkabók	kʰ ɔ h k a p o u k
kokkur	kʰ ɔ h k ʏ r
kókosfeiti	kʰ o u k ɔ s f e i t ɪ
kókoshnetur	kʰ o u k ɔ s n̥ ɛ t ʏ r
köku	kʰ œ k ʏ
kökudeigið	kʰ œ k ʏ t e i j ɪ ð
kökusneið	kʰ œ k ʏ s n e i ð
kól	kʰ o u l
kóladrykkir	kʰ o u l a t r ɪ h c ɪ r
kolbeinn	kʰ ɔ l p e i t n
kolbeinsmýri	kʰ ɔ l p e i n s m i r ɪ
kolbeinsstöðum	kʰ ɔ l p e i n s s t œ ð ʏ m
kolbjörg	kʰ ɔ l p j œ r k
kolbláir	kʰ ɔ l p l a u ɪ r
kolbrá	kʰ ɔ l p r a u
kolbrún	kʰ ɔ l p r u n
köldukinn	kʰ œ l t ʏ cʰ ɪ n
köldulind	kʰ œ l t ʏ l ɪ n t
köldustu	kʰ œ l t ʏ s t ʏ
kóleru	kʰ o u l ɛ r ʏ
kolfelld	kʰ ɔ l f ɛ t l t
kolfinna	kʰ ɔ l f ɪ n a
kolfinnur	kʰ ɔ l f ɪ n ʏ r
kolfreyja	kʰ ɔ l f r e i j a
kolfreyju	kʰ ɔ l f r e i j ʏ
kolfreyjustað	kʰ ɔ l f r e i j ʏ s t a ð
kolgerði	kʰ ɔ l c ɛ r ð ɪ
kolgríma	kʰ ɔ l k r i m a
kolgröf	kʰ ɔ l k r œ v
kolgröfum	kʰ ɔ l k r œ v ʏ m
kolka	kʰ ɔ l̥ k a
kolkrabbann	kʰ ɔ l kʰ r a p a n
kolkrabbi	kʰ ɔ l kʰ r a p ɪ
kolkrabbinn	kʰ ɔ l kʰ r a p ɪ n
kolkuósi	kʰ ɔ l kʰ ʏ o u s ɪ
kollafirði	kʰ ɔ t l a v ɪ r ð ɪ
kollaleiru	kʰ ɔ t l a l e i r ʏ
kolli	kʰ ɔ t l ɪ
kollinn	kʰ ɔ t l ɪ n
kollsvík	kʰ ɔ l s v i k
kollu	kʰ ɔ t l ʏ
kölluð	kʰ œ t l ʏ ð
kölluðu	kʰ œ t l ʏ ð ʏ
köllun	kʰ œ t l ʏ n
köllunarklettsvegi	kʰ œ t l ʏ n a r kʰ l ɛ h t s v e i j ɪ
kolmar	kʰ ɔ l m a r
kolmúla	kʰ ɔ l m u l a
kolmunna	kʰ ɔ l m ʏ n a
kólna	kʰ o u l n a
kólnað	kʰ o u l n a ð
kólnar	kʰ o u l n a r
kolniðamyrkur	kʰ ɔ l n ɪ ð a m ɪ r̥ k ʏ r
kolsholti	kʰ ɔ l s h ɔ l̥ t ɪ
kolsholtshelli	kʰ ɔ l s h ɔ l̥ t s h ɛ t l ɪ
kölska	kʰ œ l s k a
kolskeggur	kʰ ɔ l s c ɛ k ʏ r
kolugili	kʰ ɔ l ʏ j ɪ l ɪ
kólumbía	kʰ o u l ʏ m p i j a
kólumbísku	kʰ o u l ʏ m p i s k ʏ
kólumbískum	kʰ o u l ʏ m p i s k ʏ m
kólumbískur	kʰ o u l ʏ m p i s k ʏ r
kólumbíu	kʰ o u l ʏ m p i j ʏ
kolviðarnesi	kʰ ɔ l v ɪ ð a r t n ɛ s ɪ
kolviður	kʰ ɔ l v ɪ ð ʏ r
kom	kʰ ɔ m
koma	kʰ ɔ m a
komast	kʰ ɔ m a s t
kömbunum	kʰ œ m p ʏ n ʏ m
komi	kʰ ɔ m ɪ
komið	kʰ ɔ m ɪ ð
komin	kʰ ɔ m ɪ n
kominn	kʰ ɔ m ɪ n
komist	kʰ ɔ m ɪ s t
komma	kʰ ɔ m a
komnar	kʰ ɔ m n a r
komnir	kʰ ɔ m n ɪ r
kómoreyjar	kʰ o u m ɔ r e i j a r
kompa	kʰ ɔ m̥ p a
kompan	kʰ ɔ m̥ p a n
kompu	kʰ ɔ m̥ p ʏ
kompuna	kʰ ɔ m̥ p ʏ n a
kompunni	kʰ ɔ m̥ p ʏ n ɪ
komst	kʰ ɔ m s t
komstu	kʰ ɔ m s t ʏ
komu	kʰ ɔ m ʏ
komum	kʰ ɔ m ʏ m
komumst	kʰ ɔ m ʏ m s t
komuna	kʰ ɔ m ʏ n a
komur	kʰ ɔ m ʏ r
komust	kʰ ɔ m ʏ s t
kona	kʰ ɔ n a
konan	kʰ ɔ n a n
konar	kʰ ɔ n a r
kóngavegur	kʰ o u ŋ k a v ɛ ɣ ʏ r
kóngsvegi	kʰ o u ŋ k s v e i j ɪ
kóngulóar	kʰ o u ŋ k ʏ l o u a r
kóngulóarmanninn	kʰ o u ŋ k ʏ l o u a r m a n ɪ n
köngulóarvefinn	kʰ ø y ŋ k ʏ l o u a r v ɛ v ɪ n
köngulóarvefurinn	kʰ ø y ŋ k ʏ l o u a r v ɛ v ʏ r ɪ n
köngurlóarvefur	kʰ ø y ŋ k ʏ r l o u a r v ɛ v ʏ r
konkordía	kʰ ɔ n kʰ ɔ r t i j a
könnuð	kʰ œ n ʏ ð
könnun	kʰ œ n ʏ n
könnunin	kʰ œ n ʏ n ɪ n
könnunina	kʰ œ n ʏ n ɪ n a
konráð	kʰ ɔ n r a u ð
konsert	kʰ ɔ n s ɛ r̥ t
konstantínus	kʰ ɔ n s t a n tʰ i n ʏ s
kontór	kʰ ɔ n tʰ o u r
kontórinn	kʰ ɔ n tʰ o u r ɪ n
kontóristarnir	kʰ ɔ n tʰ o u r ɪ s t a r t n ɪ r
konu	kʰ ɔ n u
konum	kʰ ɔ n ʏ m
konuna	kʰ ɔ n ʏ n a
konung	kʰ ɔ n u ŋ k
konunglega	kʰ ɔ n u ŋ k l ɛ ɣ a
konunglegir	kʰ ɔ n u ŋ k l e i j ɪ r
konunglegt	kʰ ɔ n u ŋ k l ɛ ɣ t
konunglegu	kʰ ɔ n u ŋ k l ɛ ɣ ʏ
konunglegur	kʰ ɔ n u ŋ k l ɛ ɣ ʏ r
konungs	kʰ ɔ n u ŋ k s
konungsfjölskyldan	kʰ ɔ n u ŋ k s f j œ l s c ɪ l t a n
konungsfjölskylduna	kʰ ɔ n u ŋ k s f j œ l s c ɪ l t ʏ n a
konungshjónin	kʰ ɔ n u ŋ k s ç o u n ɪ n
konungshöll	kʰ ɔ n u ŋ k s h œ t l
konungshöllina	kʰ ɔ n u ŋ k s h œ t l ɪ n a
konungum	kʰ ɔ n u ŋ k ʏ m
konungur	kʰ ɔ n u ŋ k ʏ r
konunnar	kʰ ɔ n ʏ n a r
konunni	kʰ ɔ n ʏ n ɪ
konur	kʰ ɔ n ʏ r
konurnar	kʰ ɔ n ʏ r t n a r
kópalind	kʰ o u pʰ a l ɪ n t
kópareykjum	kʰ o u p a r e i c ʏ m
kópaseli	kʰ o u pʰ a s ɛ l ɪ
kópaskeri	kʰ o u pʰ a s c ɛ r ɪ
kópavogi	kʰ o u pʰ a v ɔ j ɪ
kópavogsbæjar	kʰ o u pʰ a v ɔ s p a i j a r
kópavogsbakka	kʰ o u pʰ a v ɔ s p a h k a
kópavogsbraut	kʰ o u pʰ a v ɔ s p r ø y t
kópavogsskóla	kʰ o u pʰ a v ɔ s s k o u l a
kópnesbraut	kʰ o u p n ɛ s p r ø y t
kóraninn	kʰ o u r a n ɪ n
kóreska	kʰ o u r ɛ s k a
körfubolta	kʰ œ r̥ f ʏ p ɔ l̥ t a
körfuboltann	kʰ œ r̥ f ʏ p ɔ l̥ t a n
körfubolti	kʰ œ r̥ f ʏ p ɔ l̥ t ɪ
körfuknattleik	kʰ œ r̥ f ʏ h k n a h t l e i k
körfuna	kʰ œ r̥ f ʏ n a
körfunni	kʰ œ r̥ f ʏ n ɪ
kórinn	kʰ o u r ɪ n
korka	kʰ ɔ r̥ k a
korktöppunum	kʰ ɔ r̥ k tʰ œ h p ʏ n ʏ m
körlum	kʰ œ r t l ʏ m
kornabarn	kʰ ɔ r t n a p a r t n
kornakri	kʰ ɔ r t n a kʰ r ɪ
kornbrekku	kʰ ɔ r t n p r ɛ h k ʏ
kornelíus	kʰ ɔ r t n ɛ l i j ʏ s
korngörðum	kʰ ɔ r t n k œ r ð ʏ m
korni	kʰ ɔ r t n ɪ
kornsá	kʰ ɔ r t n s a u
kórnum	kʰ o u r t n ʏ m
kornvöllum	kʰ ɔ r t n v œ t l ʏ m
kornvörur	kʰ ɔ r t n v œ r ʏ r
kóror	kʰ o u r ɔ r
körpuðu	kʰ œ r̥ p ʏ ð ʏ
korpúlfsstaði	kʰ ɔ r̥ p u l v s s t a ð ɪ
korpúlfsstöðum	kʰ ɔ r̥ p u l v s s t œ ð ʏ m
korputorgi	kʰ ɔ r̥ p ʏ tʰ ɔ r c ɪ
kort	kʰ ɔ r̥ t
kortafyrirtæki	kʰ ɔ r̥ t a f ɪ r ɪ r tʰ a i c ɪ
korter	kʰ ɔ r̥ t ɛ r
kortlagður	kʰ ɔ r̥ t l a ɣ ð ʏ r
kortleggur	kʰ ɔ r̥ t l ɛ k ʏ r
kortum	kʰ ɔ r̥ t ʏ m
kortunum	kʰ ɔ r̥ t ʏ n ʏ m
kosið	kʰ ɔ s ɪ ð
kosin	kʰ ɔ s ɪ n
kosinn	kʰ ɔ s ɪ n
kosning	kʰ ɔ s t n i ŋ k
kosninga	kʰ ɔ s n i ŋ k a
kosningaári	kʰ ɔ s n i ŋ k a a u r ɪ
kosningabaráttan	kʰ ɔ s n i ŋ k a p a r a u h t a n
kosningabaráttunni	kʰ ɔ s n i ŋ k a p a r a u h t ʏ n ɪ
kosninganna	kʰ ɔ s n i ŋ k a n a
kosningar	kʰ ɔ s n i ŋ k a r
kosningarinnar	kʰ ɔ s n i ŋ k a r ɪ n a r
kosningarnar	kʰ ɔ s n i ŋ k a r t n a r
kosningaúrslit	kʰ ɔ s n i ŋ k a u r̥ s t l ɪ t
kosningaþátttaka	kʰ ɔ s n i ŋ k a θ a u h t tʰ a k a
kosningaþátttöku	kʰ ɔ s n i ŋ k a θ a u h t tʰ œ k ʏ
kosningin	kʰ ɔ s n i ɲ c ɪ n
kosningu	kʰ ɔ s t n i ŋ k ʏ
kosninguna	kʰ ɔ s t n i ŋ k ʏ n a
kosningunum	kʰ ɔ s t n i ŋ k ʏ n ʏ m
kosnir	kʰ ɔ s t n ɪ r
kossi	kʰ ɔ s ɪ
kossinn	kʰ ɔ s ɪ n
kossinum	kʰ ɔ s ɪ n ʏ m
kost	kʰ ɔ s t
kosta	kʰ ɔ s t a
kostað	kʰ ɔ s t a ð
kostaði	kʰ ɔ s t a ð ɪ
kostar	kʰ ɔ s t a r
kosti	kʰ ɔ s t ɪ
kostir	kʰ ɔ s t ɪ r
kostnað	kʰ ɔ s t n a ð
kostnaðaráætlun	kʰ ɔ s t n a ð a r a u a i h t l ʏ n
kostnaðarmatið	kʰ ɔ s t n a ð a r m a t ɪ ð
kostnaðarsamt	kʰ ɔ s t n a ð a r s a m̥ t
kostnaðarskiptingu	kʰ ɔ s t n a ð a r s k ɪ f t i ŋ k ʏ
kostnaðarsöm	kʰ ɔ s t n a ð a r s œ m
kostnaði	kʰ ɔ s t n a ð ɪ
kostnaðinum	kʰ ɔ s t n a ð ɪ n ʏ m
kostnaður	kʰ ɔ s t n a ð ʏ r
kostuðu	kʰ ɔ s t ʏ ð ʏ
köstuðu	kʰ œ s t ʏ ð ʏ
kostum	kʰ ɔ s t ʏ m
kostur	kʰ ɔ s t ʏ r
kosturinn	kʰ ɔ s t ʏ r ɪ n
kotabyggð	kʰ ɔ t a p ɪ ɣ ð
kotárgerði	kʰ ɔ t a u r c ɛ r ð ɪ
koter	kʰ ɔ t ɛ r
kothaga	kʰ ɔ t h a ɣ a
kothúsum	kʰ ɔ t h u s ʏ m
koti	kʰ ɔ t ɪ
kotið	kʰ ɔ t ɪ ð
kötlu	kʰ œ h t l ʏ
kötlufelli	kʰ œ h t l ʏ f ɛ t l ɪ
kötlunesvegi	kʰ œ h t l ʏ n ɛ s v e i j ɪ
kotmúla	kʰ ɔ t m u l a
kotströnd	kʰ ɔ t s t r œ n t
köttinn	kʰ œ h t ɪ n
köttur	kʰ œ h t ʏ r
kötturinn	kʰ œ h t ʏ r ɪ n
krá	kʰ r a u
krabba	kʰ r a p a
krabbamein	kʰ r a p a m e i n
krabbameini	kʰ r a p a m e i n ɪ
krabbameins	kʰ r a p a m e i n s
krabbameinsfélagsins	kʰ r a p a m e i n s f j ɛ l a x s ɪ n s
krabbameinsrannsóknir	kʰ r a p a m e i n s r a n s o u h k n ɪ r
krabbameinsvaldandi	kʰ r a p a m e i n s v a l t a n t ɪ
kræklingahlíð	kʰ r a i h k l i ŋ k a l̥ i ð
krækti	kʰ r a i x t ɪ
kræsingar	kʰ r a i s i ŋ k a r
krafa	kʰ r a v a
krafan	kʰ r a v a n
krafðir	kʰ r a v ð ɪ r
krafðist	kʰ r a v ð ɪ s t
krafist	kʰ r a f ɪ s t
krafna	kʰ r a p n a
krafsinu	kʰ r a f s ɪ n ʏ
krafta	kʰ r a f t a
kraftalegir	kʰ r a f t a l e i j ɪ r
kraftaverk	kʰ r a f t a v ɛ r̥ k
kraftaverkamaður	kʰ r a f t a v ɛ r̥ k a m a ð ʏ r
kraftaverkasögur	kʰ r a f t a v ɛ r̥ k a s œ ɣ ʏ r
krafti	kʰ r a f t ɪ
kraftmikill	kʰ r a f t m ɪ c ɪ t l
kraftmiklir	kʰ r a f t m ɪ kʰ l ɪ r
kraftur	kʰ r a f t ʏ r
krafturinn	kʰ r a f t ʏ r ɪ n
krakkar	kʰ r a h k a r
krakkarnir	kʰ r a h k a r t n ɪ r
krakki	kʰ r a h c ɪ
krana	kʰ r a n a
kranabílsins	kʰ r a n a p i l s ɪ n s
kránni	kʰ r a u n ɪ
kransar	kʰ r a n s a r
kransinum	kʰ r a n s ɪ n ʏ m
krapa	kʰ r a p a
krapastífla	kʰ r a p a s t i p l a
krapastíflu	kʰ r a p a s t i p l ʏ
krapi	kʰ r a p ɪ
kraunastöðum	kʰ r ø y n a s t œ ð ʏ m
kreditkorta	kʰ r ɛ t ɪ t kʰ ɔ r̥ t a
krefjandi	kʰ r ɛ v j a n t ɪ
krefjast	kʰ r ɛ v j a s t
krefst	kʰ r ɛ f s t
kreisti	kʰ r e i s t ɪ
kreppa	kʰ r ɛ h p a
kreppan	kʰ r ɛ h p a n
kreppir	kʰ r ɛ h p ɪ r
krepptist	kʰ r ɛ h p t ɪ s t
krepptust	kʰ r ɛ h p t ʏ s t
kreppu	kʰ r ɛ h p ʏ
kreppuna	kʰ r ɛ h p ʏ n a
kreppunnar	kʰ r ɛ h p ʏ n a r
kría	kʰ r i j a
krían	kʰ r i a n
krikanum	kʰ r ɪ k a n ʏ m
krílunum	kʰ r i l ʏ n ʏ m
kring	kʰ r i ŋ k
kringlóttar	kʰ r i ŋ k l o u h t a r
kringlu	kʰ r i ŋ k l ʏ
kringlubíó	kʰ r i ŋ k l ʏ p i o u
kringlumel	kʰ r i ŋ k l ʏ m ɛ l
kringlumýrarbraut	kʰ r i ŋ k l ʏ m i r a r p r ø y t
kringlumýri	kʰ r i ŋ k l ʏ m i r ɪ
kringlunnar	kʰ r i ŋ k l ʏ n a r
kringlunni	kʰ r i ŋ k l ʏ n ɪ
kringum	kʰ r i ŋ k ʏ m
kringumstæður	kʰ r i ŋ k ʏ m s t a i ð ʏ r
krista	kʰ r ɪ s t a
kristall	kʰ r ɪ s t a t l
kristberg	kʰ r ɪ s t p ɛ r k
kristbergur	kʰ r ɪ s t p ɛ r k ʏ r
kristbjörg	kʰ r ɪ s t p j œ r k
kristbjörn	kʰ r ɪ s t p j œ r t n
kristborg	kʰ r ɪ s t p ɔ r k
kristel	kʰ r ɪ s t ɛ l
kristens	kʰ r ɪ s t ɛ n s
kristensa	kʰ r ɪ s t ɛ n s a
kristey	kʰ r ɪ s t e i
kristfinnur	kʰ r ɪ s t f ɪ n ʏ r
kristgerður	kʰ r ɪ s t c ɛ r ð ʏ r
kristian	kʰ r ɪ s t ɪ a n
kristíana	kʰ r ɪ s t i a n a
kristíanna	kʰ r ɪ s t i j a n a
kristilegur	kʰ r ɪ s t ɪ l ɛ ɣ ʏ r
kristin	kʰ r ɪ s t ɪ n
kristín	kʰ r ɪ s t i n
kristína	kʰ r ɪ s t i n a
kristine	kʰ r ɪ s t ɪ n ɛ
kristinn	kʰ r ɪ s t ɪ n
kristinnar	kʰ r ɪ s t ɪ n a r
kristins	kʰ r ɪ s t ɪ n s
kristínu	kʰ r ɪ s t i n ʏ
kristján	kʰ r ɪ s t j a u n
kristjana	kʰ r ɪ s t j a n a
kristjaníu	kʰ r ɪ s t j a n i j ʏ
kristjón	kʰ r ɪ s t j o u n
kristjóna	kʰ r ɪ s t j o u n a
kristlaugur	kʰ r ɪ s t l ø y ɣ ʏ r
kristleifur	kʰ r ɪ s t l e i v ʏ r
kristlín	kʰ r ɪ s t l i n
kristlind	kʰ r ɪ s t l ɪ n t
kristmann	kʰ r ɪ s t m a n
kristmar	kʰ r ɪ s t m a r
kristmundur	kʰ r ɪ s t m ʏ n t ʏ r
kristna	kʰ r ɪ s t n a
kristnesi	kʰ r ɪ s t n ɛ s ɪ
kristnesspítala	kʰ r ɪ s t n ɛ s p i tʰ a l a
kristnesspítali	kʰ r ɪ s t n ɛ s p i tʰ a l ɪ
kristni	kʰ r ɪ s t n ɪ
kristniboðssamtök	kʰ r ɪ s t n ɪ p ɔ ð s s a m tʰ œ k
kristnibraut	kʰ r ɪ s t n ɪ p r ø y t
kristný	kʰ r ɪ s t n i
kristofer	kʰ r ɪ s t ɔ f ɛ r
kristófer	kʰ r ɪ s t o u f ɛ r
kristólína	kʰ r ɪ s t o u l i n a
kristrós	kʰ r ɪ s t r o u s
kristrún	kʰ r ɪ s t r u n
kristvaldur	kʰ r ɪ s t v a l t ʏ r
kristvarður	kʰ r ɪ s t v a r ð ʏ r
kristvina	kʰ r ɪ s t v ɪ n a
kristþóra	kʰ r ɪ s t θ o u r a
krísuvík	kʰ r i s ʏ v i k
krít	kʰ r i t
krithólsgerði	kʰ r ɪ t h o u l s c ɛ r ð ɪ
kríuási	kʰ r i j ʏ a u s ɪ
kríubakka	kʰ r i j ʏ p a h k a
kríuhóli	kʰ r i j ʏ h o u l ɪ
kríuhólum	kʰ r i j ʏ h o u l ʏ m
kríumýri	kʰ r i j ʏ m i r ɪ
kríuna	kʰ r i j ʏ n a
kríunesi	kʰ r i j ʏ n ɛ s ɪ
kríur	kʰ r i j ʏ r
króata	kʰ r o u a t a
króatar	kʰ r o u a tʰ a r
króatía	kʰ r o u a tʰ i j a
króatískur	kʰ r o u a tʰ i s k ʏ r
króatíu	kʰ r o u a tʰ i j ʏ
kröfðust	kʰ r œ v ð ʏ s t
kröftuglega	kʰ r œ f t ʏ ɣ l ɛ ɣ a
kröfu	kʰ r œ v ʏ
kröfugerð	kʰ r œ v ʏ c ɛ r ð
kröfugöngu	kʰ r œ v ʏ k ø y ŋ k ʏ
kröfugöngur	kʰ r œ v ʏ k ø y ŋ k ʏ r
kröfuhafa	kʰ r œ v ʏ h a v a
kröfuhafar	kʰ r œ v ʏ h a v a r
kröfum	kʰ r œ v ʏ m
kröfuna	kʰ r œ v ʏ n a
kröfunni	kʰ r œ v ʏ n ɪ
kröfur	kʰ r œ v ʏ r
kröfurnar	kʰ r œ v ʏ r t n a r
kröggólfsstöðum	kʰ r œ k o u l v s s t œ ð ʏ m
krókabyggð	kʰ r o u k a p ɪ ɣ ð
krókahrauni	kʰ r o u k a r̥ ø y n ɪ
krókamýri	kʰ r o u k a m i r ɪ
krókatúni	kʰ r o u k a tʰ u n ɪ
krókeyrar	kʰ r o u k e i r a r
krókhálsi	kʰ r o u k h a u l s ɪ
króki	kʰ r o u k ɪ
krókinn	kʰ r o u k ɪ n
krökkum	kʰ r œ h k ʏ m
krökkunum	kʰ r œ h k ʏ n ʏ m
króknum	kʰ r o u k n ʏ m
krókódíl	kʰ r o u k o u t i l
krókódíll	kʰ r o u k o u t i t l
krókseli	kʰ r o u k s ɛ l ɪ
króksfjarðarnesi	kʰ r o u k s f j a r ð a r t n ɛ s ɪ
króksholti	kʰ r o u k s h ɔ l̥ t ɪ
króksstöðum	kʰ r o u k s s t œ ð ʏ m
króktúni	kʰ r o u k tʰ u n ɪ
krókum	kʰ r o u k ʏ m
króna	kʰ r o u n a
krónan	kʰ r o u n a n
krónprinsessan	kʰ r o u n pʰ r ɪ n s ɛ s a n
krónprinsinn	kʰ r o u n pʰ r ɪ n s ɪ n
krónu	kʰ r o u n ʏ
krónum	kʰ r o u n ʏ m
krónuna	kʰ r o u n ʏ n a
krónunnar	kʰ r o u n ʏ n a r
krónunni	kʰ r o u n ʏ n ɪ
krónur	kʰ r o u n ʏ r
krónustöðum	kʰ r o u n ʏ s t œ ð ʏ m
krónutölu	kʰ r o u n ʏ tʰ œ l ʏ
kröppum	kʰ r œ h p ʏ m
kross	kʰ r ɔ s
krossakri	kʰ r ɔ s a k r ɪ
krossanesbraut	kʰ r ɔ s a n ɛ s p r ø y t
krossanesi	kʰ r ɔ s a n ɛ s ɪ
krossar	kʰ r ɔ s a r
krossastöðum	kʰ r ɔ s a s t œ ð ʏ m
krossavík	kʰ r ɔ s a v i k
krossbæ	kʰ r ɔ s p a i
krossdal	kʰ r ɔ s t a l
krosseyjarvegi	kʰ r ɔ s e i j a r v e i j ɪ
krosseyrarvegi	kʰ r ɔ s e i r a r v e i j ɪ
krossfesta	kʰ r ɔ s f ɛ s t a
krossfestir	kʰ r ɔ s f ɛ s t ɪ r
krossgátu	kʰ r ɔ s k a u t ʏ
krossgötum	kʰ r ɔ s k œ t ʏ m
krossholti	kʰ r ɔ s h ɔ l̥ t ɪ
krossi	kʰ r ɔ s ɪ
krossinn	kʰ r ɔ s ɪ n
krossins	kʰ r ɔ s ɪ n s
krossmóa	kʰ r ɔ s m o u a
krossmói	kʰ r ɔ s m o u ɪ
krossnesi	kʰ r ɔ s n ɛ s ɪ
krossum	kʰ r ɔ s ʏ m
krotarar	kʰ r ɔ t a r a r
krufðu	kʰ r ʏ v ð ʏ
krufningar	kʰ r ʏ p n i ŋ k a r
krufningarskýrslu	kʰ r ʏ p n i ŋ k a r s c i r̥ s l ʏ
krufningu	kʰ r ʏ p n i ŋ k ʏ
krukku	kʰ r ʏ h k ʏ
krukkunnar	kʰ r ʏ h k ʏ n a r
krukkur	kʰ r ʏ h k ʏ r
krummakots	kʰ r ʏ m m a kʰ ɔ t s
krummi	kʰ r ʏ m ɪ
krumpuðum	kʰ r ʏ m̥ p ʏ ð ʏ m
krunki	kʰ r u ŋ̊ k ɪ
krúttlegt	kʰ r u h t l ɛ ɣ t
krydd	kʰ r ɪ t
krýsuvík	kʰ r i s ʏ v i k
krýsuvíkurvegi	kʰ r i s ʏ v i k ʏ r v e i j ɪ
kú	kʰ u
kúabænda	kʰ u a p a i n t a
kúabændur	kʰ u a p a i n t ʏ r
kúabús	kʰ u a p u s
kúamjólk	kʰ u a m j o u l̥ k
kúba	kʰ u p a
kúbanska	kʰ u p a n s k a
kúbverskir	kʰ u p v ɛ r̥ s k ɪ r
kúbverskra	kʰ u p v ɛ r̥ s k r a
kuðunginn	kʰ ʏ ð u ŋ c ɪ n
kúfhóli	kʰ u v h o u l ɪ
kuflinum	kʰ ʏ p l ɪ n ʏ m
kulda	kʰ ʏ l t a
kuldakastsins	kʰ ʏ l t a k a s t s ɪ n s
kuldalegt	kʰ ʏ l t a l ɛ ɣ t
kuldamet	kʰ ʏ l t a m ɛ t
kuldann	kʰ ʏ l t a n
kuldanum	kʰ ʏ l t a n ʏ m
kuldaskeið	kʰ ʏ l t a s k e i ð
kuldi	kʰ ʏ l t ɪ
kuldinn	kʰ ʏ l t ɪ n
kuli	kʰ ʏ l ɪ
kúludalsá	kʰ u l ʏ t a l s a u
kúlufiskur	kʰ u l ʏ f ɪ s k ʏ r
kúlum	kʰ u l ʏ m
kunn	kʰ ʏ n
kunna	kʰ ʏ n a
kunngjört	kʰ ʏ n c œ r̥ t
kunnuglegar	kʰ ʏ n ʏ ɣ l ɛ ɣ a r
kunnuglegur	kʰ ʏ n ʏ ɣ l ɛ ɣ ʏ r
kunnugt	kʰ ʏ n ʏ k t
kunnugur	kʰ ʏ n ʏ ɣ ʏ r
kúnstir	kʰ u s t ɪ r
kúrekar	kʰ u r ɛ k a r
kurfur	kʰ ʏ r v ʏ r
kúrlandi	kʰ u r l a n t ɪ
kurr	kʰ ʏ r
kúrs	kʰ u r̥ s
kurteist	kʰ ʏ r tʰ e i s t
kúskerpi	kʰ u s c ɛ r̥ p ɪ
kuskið	kʰ ʏ s c ɪ ð
kusu	kʰ ʏ s ʏ
kútnum	kʰ u h t n ʏ m
kútterunum	kʰ u h t ɛ r ʏ n ʏ m
kúveit	kʰ u v e i t
kvaddi	kʰ v a t ɪ
kvaddir	kʰ v a t ɪ r
kvaðst	kʰ v a ð s t
kvarta	kʰ v a r̥ t a
kvartað	kʰ v a r̥ t a ð
kvartaði	kʰ v a r̥ t a ð ɪ
kvartar	kʰ v a r̥ t a r
kvatt	kʰ v a h t
kveðið	kʰ v ɛ ð ɪ ð
kveðinn	kʰ v ɛ ð ɪ n
