a	ox
kakepala	k a k ex p ox l ox
kakepung	k a k ex p u ng
kakerabatan	k a k ex r a b a t a n
kakerabatané	k a k ex r a b a t a n e
kakerasan	k a k ex r a s a n
kaki	k a k i
kakim	k a k i m
kakinten	k a k i n t ex n
kakintun	k a k i n t u n
kakinya	k a k i ny ox
kakirangan	k a k i r a ng a n
kakisruhan	k a k i s r u h a n
kakiyatan	k a k i y a t a n
kakiyatanipun	k a k i y a t a n i p u n
kakliruan	k a k l i r u a n
kakondhangané	k a k o n dh a ng a n e
kakontrol	k a k o n t r o l
kakrasana	k ox k r ox s ox n ox
kakristenan	k a k r i s t ex n a n
kakti	k a k t i
kaktus	k a k t u s
kaku	k a k u
kakuasan	k a k u a s a n
kakuatan	k a k u a t a n
kakubeku	k a k u b ex k u
kakung	k a k u ng
kakunge	k a k u ng ex
kakungipun	k a k u ng i p u n
kakungku	k a k u ng k u
kakungè	k a k u ng e
kakunodate	k a k u n o d a t ex
kakurangan	k a k u r a ng a n
kakuranganing	k a k u r a ng a n i ng
kakurangané	k a k u r a ng a n e
kakurung	k a k u r u ng
kakuta	k a k u t ox
kakuwaosan	k a k u w a o s a n
kakuwaosanipun	k a k u w a o s a n i p u n
kakuwaosipun	k a k u w a o s i p u n
kakuwasaan	k a k u w a s a a n
kakuwasan	k a k u w a s a n
kakuwasn	k a k u w a s n
kakuwatan	k a k u w a t a n
kakuwatané	k a k u w a t a n e
kakèan	k a k e a n
kakèhan	k a k e h a n
kakèyan	k a k e y a n
kakéyan	k a k e y a n
kala	k ox l ox
kalabahi	k a l a b a h i
kalabakan	k a l a b a k a n
kalabendana	k a l a b ex n d ox n ox
kalabendhu	k a l a b ex n dh u
kalabendu	k a l a b ex n d u
kalabet	k a l a b ex t
kalabria	k a l a b r i ox
kalabur	k a l a b u r
kalacakra	k ox l ox c ox k r ox
kaladhita	k a l a dh i t ox
kaladuk	k a l a d u '
kalagaulufonu	k a l a g a u l u f o n u
kalah	k a l a h
kalahe	k a l a h ex
kalahiraké	k a l a h i r a k e
kalahiran	k a l a h i r a n
kalahé	k a l a h e
kalai	k a l a i
kalain	k a l a i n
kalair	k a l a i r
kalairan	k a l a i r a n
kalairané	k a l a i r a n e
kalajengaken	k a l a j ex ng a k ex n
kalajengan	k a l a j ex ng a n
kalajengking	k a l a j ex ng k i ng
kalakon	k a l a k o n
kalaksanan	k a l a k s a n a n
kalalo	k a l a l o
kalam	k a l a m
kalamangga	k ox l ox m ox ng g ox
kalampahan	k a l a m p a h a n
kalampahana	k ox l ox m p ox h ox n ox
kalanadhah	k a l a n a dh a h
kalanchoe	k a l a n kh u
kalane	k a l a n ex
kalang	k a l a ng
kalangan	k a l a ng a n
kalangané	k a l a ng a n e
kalangenan	k a l a ng ex n a n
kalanggengan	k a l a ng g ex ng a n
kalangsungan	k a l a ng s u ng a n
kalangsunganing	k a l a ng s u ng a n i ng
kalangwan	k a l a ng w a n
kalaning	k a l a n i ng
kalané	k a l a n e
kalapa	k ox l ox p ox
kalasan	k a l a s a n
kalatidha	k a l a t i dh ox
kalatih	k a l a t i h
kalau	k a l a u
kalaupun	k a l a u p u n
kalawan	k a l a w a n
kalawarta	k ox l ox w ox r t ox
kalawarti	k a l a w a r t i
kalawau	k a l a w a u
kalawingi	k a l a w i ng i
kalbar	k a l b a r
kalbi	k a l b i
kalbu	k a l b u
kaldu	k a l d u
kaldunipun	k a l d u n i p u n
kale	k a l ex
kalean	k a l ex a n
kalebet	k a l ex b ex t
kalebetaken	k a l ex b ex t a k ex n
kalebu	k a l ex b u
kalebui	k a l ex b u i
kaleh	k a l ex h
kalehan	k a l ex h a n
kaleksanan	k a l ex k s a n a n
kaleluasan	k a l ex l u a s a n
kalem	k a l ex m
kalemahan	k a l ex m a h a n
kalemahané	k a l ex m a h a n e
kalembagan	k a l ex m b a g a n
kalembak	k a l ex m b ox '
kalembapan	k a l ex m b a p a n
kalembutan	k a l ex m b u t a n
kalemie	k a l ex m i ex
kalemon	k a l ex m o n
kalempahan	k a l ex m p a h a n
kalempit	k a l ex m p i t
kalen	k a l ex n
kalenan	k a l ex n a n
kalender	k a l ex n d ex r
kalendher	k a l ex n dh ex r
kaleng	k a l ex ng
kalenggahan	k a l ex ng g a h a n
kalenggahanipun	k a l ex ng g a h a n i p u n
kalepatan	k a l ex p a t a n
kalepataning	k a l ex p a t a n i ng
kaler	k a l ex r
kaleresaken	k a l ex r ex s a k ex n
kaleresan	k a l ex r ex s a n
kalergi	k a l ex r g i
kalestarèn	k a l ex s t a r e n
kali	k a l i
kalian	k a l i a n
kalianget	k a l i a ng ex t
kaliayan	k a l i a y a n
kalibacin	k a l i b a c i n
kalibagor	k a l i b a g o r
kalibat	k a l i b a t
kalibata	k a l i b ox t ox
kalibawang	k a l i b a w a ng
kalibeluk	k a l i b ex l u '
kalibening	k a l i b ex n i ng
kalibet	k a l i b ex t
kalibusiswe	k a l i b u s i s w ex
kalideres	k a l i d ex r ex s
kalidon	k a l i d o n
kaligesing	k a l i g ex s i ng
kaligis	k a l i g i s
kaligrafi	k a l i g r a f i
kaligrafis	k a l i g r a f i s
kalih	k a l i h
kalihan	k a l i h a n
kalihipun	k a l i h i p u n
kalihwelas	k a l i h w ex l a s
kalijaga	k a l i j ox g ox
kalik	k a l i '
kalikang	k a l i k a ng
kaliki	k a l i k i
kalila	k a l i l ox
kalima	k a l i m ox
kalimantan	k a l i m a n t a n
kalimantra	k a l i m ox n t r ox
kalimas	k a l i m a s
kalimasada	k a l i m ox s ox d ox
kalimasadha	k a l i m ox s ox dh ox
kalimat	k a l i m a t
kalimatan	k a l i m a t a n
kalimolas	k a l i m o l a s
kalimpahan	k a l i m p a h a n
kalimpatan	k a l i m p a t a n
kalimulya	k a l i m u l y ox
kalindhungi	k a l i n dh u ng i
kaline	k a l i n ex
kalinegoro	k a l i n ex g o r o
kaling	k a l i ng
kalinga	k a l i ng ox
kalingga	k a l i ng g ox
kaliningrad	k a l i n i ng r a d
kalinipun	k a l i n i p u n
kalinjar	k a l i ny a r
kalinya	k a l i ny ox
kalinyamat	k a l i ny a m a t
kalinyamatan	k a l i ny a m a t a n
kaliori	k a l i o r i
kaliper	k a l i p ex r
kalipur	k a l i p u r
kaliren	k a l i r ex n
kalis	k a l i s
kalisalak	k a l i s ox l ox '
kalisoka	k a l i s o k ox
kalistemon	k a l i s t ex m o n
kalium	k a l i u m
kaliurang	k a l i u r a ng
kaliwat	k a l i w a t
kaliwatan	k a l i w a t a n
kaliwungu	k a l i w u ng u
kaliya	k a l i y ox
kaliyan	k a l i y a n
kaliyann	k a l i y a n n
kaliyuga	k a l i y u g ox
kalkan	k a l k a n
kalki	k a l k i
kalkipurana	k a l k i p u r ox n ox
kalkulasi	k a l k u l a s i
kalkulator	k a l k u l a t o r
kalkulus	k a l k u l u s
kalkun	k a l k u n
kalkuta	k a l k u t ox
kalla	k ox l l ox
kallang	k a l l a ng
kallh	k a l l h
kalmaspada	k ox l m ox s p ox d ox
kalo	k a l o
kalodhangan	k a l o dh a ng a n
kaloka	k a l o k ox
kalompok	k a l o m p o '
kalong	k a l o ng
kalonggaran	k a l o ng g a r a n
kalor	k a l o r
kalori	k a l o r i
kalorimeter	k a l o r i m ex t ex r
kaloro	k a l o r o
kaloron	k a l o r o n
kalorone	k a l o r o n ex
kaloroné	k a l o r o n e
kalosi	k a l o s i
kalou	k a l o u
kalpa	k ox l p ox
kalpataru	k a l p a t a r u
kalpika	k a l p i k ox
kalsel	k a l s ex l
kalsit	k a l s i t
kalsitonin	k a l s i t o n i n
kalsium	k a l s i u m
kalsédon	k a l s e d o n
kaluarga	k a l u ox r g ox
kaluconé	k a l u c o n e
kaluhunnan	k a l u h u n n a n
kaluhuran	k a l u h u r a n
kaluhurané	k a l u h u r a n e
kaluhurna	k a l u h u r n ox
kalulu	k a l u l u
kaluluh	k a l u l u h
kalumen	k a l u m ex n
kalung	k a l u ng
kalungan	k a l u ng a n
kalunge	k a l u ng ex
kalungguhan	k a l u ng g u h a n
kalungguhané	k a l u ng g u h a n e
kalungé	k a l u ng e
kalupat	k a l u p a t
kaluputan	k a l u p u t a n
kalurahan	k a l u r a h a n
kalus	k a l u s
kaluwarga	k a l u w ox r g ox
kaluwarganing	k a l u w a r g a n i ng
kaluwarganipun	k a l u w a r g a n i p u n
kaluwargané	k a l u w a r g a n e
kaluwarganéé	k a l u w a r g a n e e
kaluwihan	k a l u w i h a n
kaluwihané	k a l u w i h a n e
kalvin	k a l f i n
kalvinis	k a l f i n i s
kalèbèt	k a l e b e t
kalènder	k a l e n d ex r
kalèndher	k a l e n dh ex r
kalèng	k a l e ng
kalèngan	k a l e ng a n
kalèngsèraké	k a l e ng s e r a k e
kalébu	k a l e b u
kaléidoscope	k a l e i d o s c o p ex
kalêbu	k a l e b u
kama	k ox m ox
kamabako	k a m a b a k o
kamaboko	k a m a b o k o
kamado	k a m a d o
kamaharajan	k a m a h a r a j a n
kamahayanikan	k a m a h a y a n i k a n
kamajaya	k ox m ox j ox y ox
kamajenganipun	k a m a j ex ng a n i p u n
kamajuan	k a m a j u a n
kamajuwan	k a m a j u w a n
kamakmuran	k a m a k m u r a n
kamal	k a m a l
kamambang	k a m a m b a ng
kamampuan	k a m a m p u a n
kamampuanipun	k a m a m p u a n i p u n
kamampuané	k a m a m p u a n e
kamandaka	k ox m ox n d ox k ox
kamangka	k ox m ox ng k ox
kamanunggalan	k a m a n u ng g a l a n
kamanungsan	k a m a n u ng s a n
kamar	k a m a r
kamaratih	k a m a r a t i h
kamardhikan	k a m a r dh i k a n
kamardhékan	k a m a r dh e k a n
kamardika	k a m a r d i k ox
kamardikaan	k a m a r d i k a a n
kamardikan	k a m a r d i k a n
kamardikanipun	k a m a r d i k a n i p u n
kamardikané	k a m a r d i k a n e
kamare	k a m a r ex
kamari	k a m a r i
kamariah	k a m a r i a h
kamaripun	k a m a r i p u n
kamarku	k a m a r k u
kamarokam	k a m a r o k a m
kamaru	k a m a r u
kamaré	k a m a r e
kamasarakatan	k a m a s a r a k a t a n
kamasipun	k a m a s i p u n
kamasku	k a m a s k u
kamasuk	k a m a s u '
kamasutra	k a m a s u t r ox
kamatengan	k a m a t ex ng a n
kambang	k a m b a ng
kambas	k a m b a s
kambi	k a m b i
kambil	k a m b i l
kambing	k a m b i ng
kambises	k a m b i s ex s
kamboja	k a m b o j ox
kambrium	k a m b r i u m
kambuh	k a m b u h
kamemperan	k a m ex m p ex r a n
kamenangan	k a m ex n a ng a n
kamengkinan	k a m ex ng k i n a n
kamentrian	k a m ex n t r i a n
kamera	k a m ex r ox
kamerlingh	k a m ex r l i ng h
kamerun	k a m ex r u n
kamesraan	k a m ex s r a a n
kameswara	k a m ex s w ox r ox
kami	k a m i
kamidia	k a m i d i ox
kamijara	k a m i j ox r ox
kamil	k a m i l
kamila	k a m i l ox
kamilitèran	k a m i l i t e r a n
kamina	k a m i n ox
kamireng	k a m i r ex ng
kamirengaken	k a m i r ex ng a k ex n
kamiripan	k a m i r i p a n
kamis	k a m i s
kamistisanipun	k a m i s t i s a n i p u n
kamisuwuranipun	k a m i s u w u r a n i p u n
kamisuwurané	k a m i s u w u r a n e
kamitenggengen	k a m i t ex ng g ex ng ex n
kamiyama	k a m i y ox m ox
kamma	k ox m m ox
kammu	k a m m u
kamodhifikasi	k a m o dh i f i k a s i
kamohoali	k a m o h o a l i
kamolan	k a m o l a n
kamos	k a m o s
kamot	k a m o t
kamp	k a m p
kampak	k ox m p ox '
kampala	k ox m p ox l ox
kampanye	k a m p a ny ex
kampanyé	k a m p a ny e
kampar	k a m p a r
kampih	k a m p i h
kampret	k a m p r ex t
kamprèt	k a m p r e t
kamprét	k a m p r e t
kampuh	k a m p u h
kampung	k a m p u ng
kampungan	k a m p u ng a n
kampunge	k a m p u ng ex
kampungipun	k a m p u ng i p u n
kampungé	k a m p u ng e
kampus	k a m p u s
kampusipun	k a m p u s i p u n
kamsa	k ox m s ox
kamtis	k a m t i s
kamu	k a m u
kamuflase	k a m u f l a s ex
kamui	k a m u i
kamukswanipun	k a m u k s w a n i p u n
kamulyan	k a m u l y a n
kamunafikan	k a m u n a f i k a n
kamungelan	k a m u ng ex l a n
kamungkinan	k a m u ng k i n a n
kamuntaban	k a m u n t a b a n
kamurnian	k a m u r n i a n
kamus	k a m u s
kamuswiki	k a m u s w i k i
kamutlakanipun	k a m u t l a k a n i p u n
kamèmperané	k a m e m p ex r a n e
kaméra	k a m e r ox
kan	k a n
kana	k ox n ox
kanaan	k a n a a n
kanada	k ox n ox d ox
kanagaraan	k a n a g a r a a n
kanagawa	k ox n ox g ox w ox
kanak	k ox n ox '
kanakamuni	k a n a k a m u n i
kanaki	k a n a k i
kanal	k a n a l
kanalkanal	k a n a l k a n a l
kanami	k a n a m i
kanan	k a n a n
kananga	k ox n ox ng ox
kanashiki	k a n a sy i k i
kanayatn	k a n a y a t n
kanca	k ox n c ox
kancaan	k a n c a a n
kancah	k a n c a h
kancaku	k a n c a k u
kancane	k a n c a n ex
kancani	k a n c a n i
kancanipun	k a n c a n i p u n
kancanè	k a n c a n e
kancané	k a n c a n e
kancil	k a n c i l
kancilwayang	k a n c i l w a y a ng
kancing	k a n c i ng
kanda	k ox n d ox
kandaga	k ox n d ox g ox
kandagan	k a n d a g a n
kandalov	k a n d a l o f
kandane	k a n d a n ex
kandang	k a n d a ng
kandangan	k a n d a ng a n
kandange	k a n d a ng ex
kandeg	k a n d ex g
kandel	k a n d ex l
kandele	k a n d ex l ex
kandelipun	k a n d ex l i p u n
kandelé	k a n d ex l e
kandha	k ox n dh ox
kandhabumi	k a n dh a b u m i
kandhakna	k ox n dh ox k n ox
kandhaku	k a n dh a k u
kandhane	k a n dh a n ex
kandhang	k a n dh a ng
kandhange	k a n dh a ng ex
kandhangkala	k ox n dh ox ng k ox l ox
kandhangé	k a n dh a ng e
kandhani	k a n dh a n i
kandhané	k a n dh a n e
kandhas	k a n dh a s
kandhel	k a n dh ex l
kandhele	k a n dh ex l ex
kandhihawa	k a n dh i h ox w ox
kandhil	k a n dh i l
kandhung	k a n dh u ng
kandhungan	k a n dh u ng a n
kandhungipun	k a n dh u ng i p u n
kandhungé	k a n dh u ng e
kandhutan	k a n dh u t a n
kandhutanipun	k a n dh u t a n i p u n
kandi	k a n d i
kandidat	k a n d i d a t
kandis	k a n d i s
kandou	k a n d o u
kandouw	k a n d o u w
kandow	k a n d o w
kandung	k a n d u ng
kandungan	k a n d u ng a n
kandungnya	k a n d u ng ny ox
kandungé	k a n d u ng e
kandutan	k a n d u t a n
kandêl	k a n d e l
kane	k a n ex
kanegaran	k a n ex g a r a n
kanekaputra	k a n ex k a p u t r ox
kaneshiro	k a n ex sy i r o
kang	k a ng
kanga	k ox ng ox
kangean	k a ng ex a n
kangelan	k a ng ex l a n
kangen	k a ng ex n
kangene	k a ng ex n ex
kangg	k a ng g
kangga	k ox ng g ox
kangge	k a ng g ex
kanggelakon	k a ng g ex l a k o n
kanggem	k a ng g ex m
kangggo	k a ng g g o
kanggi	k a ng g i
kanggo	k a ng g o
kanggoalat	k a ng g o a l a t
kanggoi	k a ng g o i
kanggomu	k a ng g o m u
kanggone	k a ng g o n ex
kanggoné	k a ng g o n e
kanggè	k a ng g e
kanggé	k a ng g e
kanggénipun	k a ng g e n i p u n
kanginan	k a ng i n a n
kangkang	k a ng k a ng
kangkung	k a ng k u ng
kangmas	k a ng m a s
kangmasipun	k a ng m a s i p u n
kangmasé	k a ng m a s e
kango	k a ng o
kangri	k a ng r i
kangrinboge	k a ng r i n b o g ex
kangsa	k ox ng s ox
kangunganipun	k a ng u ng a n i p u n
kanguru	k a ng u r u
kangwon	k a ng w o n
kangxi	k a ng k s i
kangèlan	k a ng e l a n
kanh	k a n h
kanhi	k a n h i
kani	k a n i
kanibal	k a n i b a l
kanigaran	k a n i g a r a n
kanihaya	k a n i h ox y ox
kanikama	k a n i k ox m ox
kanikamaboko	k a n i k a m a b o k o
kanisius	k a n i s i u s
kanistri	k a n i s t r i
kanizsa	k a n i z s ox
kanjeng	k a ny ex ng
kanji	k a ny i
kanjuruhan	k a ny u r u h a n
kanker	k a n k ex r
kannada	k ox n n ox d ox
kannggo	k a n ng g o
kannushi	k a n n u sy i
kano	k a n o
kanom	k a n o m
kanoman	k a n o m a n
kanon	k a n o n
kanonik	k a n o n i '
kanopi	k a n o p i
kanpendhet	k a n p ex n dh ex t
kanri	k a n r i
kansa	k ox n s ox
kansai	k a n s a i
kansas	k a n s a s
kanselir	k a n s ex l i r
kanthah	k a n th a h
kanthi	k a n th i
kanthil	k a n th i l
kanthipasukan	k a n th i p a s u k a n
kantho	k a n th o
kanthong	k a n th o ng
kanthongé	k a n th o ng e
kanthya	k ox n th y ox
kanti	k a n t i
kantil	k a n t i l
kantilolita	k a n t i l o l i t ox
kantin	k a n t i n
kantni	k a n t n i
kanto	k a n t o
kanton	k a n t o n
kantona	k a n t o n ox
kantong	k a n t o ng
kantor	k a n t o r
kantore	k a n t o r ex
kantorku	k a n t o r k u
kantoré	k a n t o r e
kantuk	k a n t u '
kantun	k a n t u n
kantung	k a n t u ng
kantèhi	k a n t e h i
kanugrahan	k a n u g r a h a n
kanuragan	k a n u r a g a n
kanuruhan	k a n u r u h a n
kanvas	k a n f a s
kanwa	k ox n w ox
kanwil	k a n w i l
kanya	k ox ny ox
kanyadewi	k a ny a d ex w i
kanyana	k ox ny ox n ox
kanyangka	k ox ny ox ng k ox
kanyataanipun	k a ny a t a a n i p u n
kanyatan	k a ny a t a n
kanye	k a ny ex
kanyiwa	k a ny i w ox
kanyong	k a ny o ng
kao	k a o
kaobong	k a o b o ng
kaolah	k a o l a h
kaonawan	k a o n a w a n
kaora	k a o r ox
kaoraseimbangan	k a o r a s ex i m b a ng a n
kaorganisasi	k a o r g a n i s a s i
kaos	k a o s
kaosmu	k a o s m u
kapa	k ox p ox
kapacak	k ox p ox c ox '
kapadetan	k a p a d ex t a n
kapadhetan	k a p a dh ex t a n
kapadhetané	k a p a dh ex t a n e
kapahlawanan	k a p a h l a w a n a n
kapak	k ox p ox '
kapal	k a p a l
kapala	k ox p ox l ox
kapale	k a p a l ex
kapamimpinan	k a p a m i m p i n a n
kapan	k a p a n
kapang	k a p a ng
kapangaruh	k a p a ng a r u h
kapangaruhan	k a p a ng a r u h a n
kapanggih	k a p a ng g i h
kapanggihaken	k a p a ng g i h a k ex n
kapangkatan	k a p a ng k a t a n
kapanguwaosan	k a p a ng u w a o s a n
kapangèranan	k a p a ng e r a n a n
kapanjangan	k a p a ny a ng a n
kapantha	k ox p ox n th ox
kapapag	k a p a p a g
kapapat	k a p a p a t
kapara	k ox p ox r ox
kapareng	k a p a r ex ng
kaparengaké	k a p a r ex ng a k e
kaparengan	k a p a r ex ng a n
kaparingan	k a p a r i ng a n
kapas	k a p a s
kapasang	k a p a s a ng
kapasitansi	k a p a s i t a n s i
kapasitas	k a p a s i t a s
kapasitor	k a p a s i t o r
kapatan	k a p a t a n
kapati	k a p a t i
kapatihan	k a p a t i h a n
kapausanipun	k a p a u s a n i p u n
kapecahaken	k a p ex c a h a k ex n
kapedhot	k a p ex dh o t
kapejahi	k a p ex j a h i
kapeksa	k a p ex k s ox
kapel	k a p ex l
kapemilikan	k a p ex m i l i k a n
kapemimpinané	k a p ex m i m p i n a n e
kapencil	k a p ex n c i l
kapencut	k a p ex n c u t
kapendhem	k a p ex n dh ex m
kapendhet	k a p ex n dh ex t
kapengaruhan	k a p ex ng a r u h a n
kapenggalih	k a p ex ng g a l i h
kapenginan	k a p ex ng i n a n
kapengker	k a p ex ng k ex r
kapenthang	k a p ex n th a ng
kapentingan	k a p ex n t i ng a n
kaperang	k a p ex r a ng
kapercayan	k a p ex r c a y a n
kaperjaya	k a p ex r j ox y ox
kaperluan	k a p ex r l u a n
kaperluane	k a p ex r l u a n ex
kaperluané	k a p ex r l u a n e
kapernaum	k a p ex r n a u m
kapesthèkaké	k a p ex s th e k a k e
kapetia	k a p ex t i ox
kapi	k a p i
kapidhoné	k a p i dh o n e
kapigunakaké	k a p i g u n a k a k e
kapikut	k a p i k u t
kapila	k a p i l ox
kapiler	k a p i l ex r
kapilih	k a p i l i h
kapiltal	k a p i l t a l
kapilut	k a p i l u t
kapilèr	k a p i l e r
kapilér	k a p i l e r
kapimpin	k a p i m p i n
kapin	k a p i n
kapindha	k a p i n dh ox
kapindhah	k a p i n dh a h
kapindho	k a p i n dh o
kapindhone	k a p i n dh o n ex
kapindo	k a p i n d o
kaping	k a p i ng
kapingin	k a p i ng i n
kapinteran	k a p i n t ex r a n
kapinterane	k a p i n t ex r a n ex
kapinteranipun	k a p i n t ex r a n i p u n
kapinterané	k a p i n t ex r a n e
kapiran	k a p i r a n
kapirangu	k a p i r a ng u
kapiraya	k a p i r ox y ox
kapisaan	k a p i s a a n
kapisah	k a p i s a h
kapisahaken	k a p i s a h a k ex n
kapisahakèn	k a p i s a h a k e n
kapisahaké	k a p i s a h a k e
kapisan	k a p i s a n
kapisanan	k a p i s a n a n
kapisané	k a p i s a n e
kapit	k a p i t
kapitadosan	k a p i t a d o s a n
kapitadosanipun	k a p i t a d o s a n i p u n
kapital	k a p i t a l
kapitalis	k a p i t a l i s
kapitalisasi	k a p i t a l i s a s i
kapitalisme	k a p i t a l i s m ex
kapitayan	k a p i t a y a n
kapiten	k a p i t ex n
kapitu	k a p i t u
kapitulas	k a p i t u l a s
kapituné	k a p i t u n e
kapitèn	k a p i t e n
kaplan	k a p l a n
kapok	k a p o '
kapolda	k a p o l d ox
kapolri	k a p o l r i
kapolwil	k a p o l w i l
kapondhong	k a p o n dh o ng
kapoor	k a p o o r
kapopongan	k a p o p o ng a n
kapopulèran	k a p o p u l e r a n
kapopulèrané	k a p o p u l e r a n e
kaprabawan	k a p r a b a w a n
kapracayan	k a p r a c a y a n
kaprah	k a p r a h
kaprahaké	k a p r a h a k e
kaprahipun	k a p r a h i p u n
kaprajan	k a p r a j a n
kaprajuritan	k a p r a j u r i t a n
kaprakirakaken	k a p r a k i r a k a k ex n
kaprasajan	k a p r a s a j a n
kaprasajanan	k a p r a s a j a n a n
kaprawanané	k a p r a w a n a n e
kaprawirane	k a p r a w i r a n ex
kaprayitnan	k a p r a y i t n a n
kaprayitnane	k a p r a y i t n a n ex
kaprecayan	k a p r ex c a y a n
kaprejaya	k a p r ex j ox y ox
kapreluan	k a p r ex l u a n
kapreluane	k a p r ex l u a n ex
kapresidenanipun	k a p r ex s i d ex n a n i p u n
kapri	k a p r i
kapribaden	k a p r i b a d ex n
kapribadianipun	k a p r i b a d i a n i p u n
kapribadèn	k a p r i b a d e n
kapribadén	k a p r i b a d e n
kaprigelan	k a p r i g ex l a n
kaprigelane	k a p r i g ex l a n ex
kaprigelanipun	k a p r i g ex l a n i p u n
kaprigelané	k a p r i g ex l a n e
kapriyé	k a p r i y e
kaprungu	k a p r u ng u
kapsid	k a p s i d
kapsul	k a p s u l
kapsula	k a p s u l ox
kapt	k a p t
kapten	k a p t ex n
kaptene	k a p t ex n ex
kaptèn	k a p t e n
kaptènpanjenengané	k a p t e n p a ny ex n ex ng a n e
kapua	k a p u ox
kapuas	k a p u a s
kapuasan	k a p u a s a n
kapuja	k a p u j ox
kapuk	k a p u '
kapukan	k a p u k a n
kapulaga	k a p u l ox g ox
kapulauan	k a p u l a u a n
kapulisèn	k a p u l i s e n
kapuloan	k a p u l o a n
kapuloannuswantara	k a p u l o a n n u s w ox n t ox r ox
kapuloané	k a p u l o a n e
kapulon	k a p u l o n
kapulowan	k a p u l o w a n
kapunahan	k a p u n a h a n
kapundhut	k a p u n dh u t
kapundhute	k a p u n dh u t ex
kapungkasan	k a p u ng k a s a n
kapungkasi	k a p u ng k a s i
kapungkur	k a p u ng k u r
kapur	k a p u r
kapuranta	k a p u r ox n t ox
kapusat	k a p u s a t
kapusataké	k a p u s a t a k e
kapusin	k a p u s i n
kapustakaan	k a p u s t a k a a n
kapustakan	k a p u s t a k a n
kaputer	k a p u t ex r
kaputusan	k a p u t u s a n
kapèncut	k a p e n c u t
kapèrang	k a p e r a ng
kapél	k a p e l
kapénak	k a p e n ox '
kapéngin	k a p e ng i n
kapéntar	k a p e n t a r
kapérakan	k a p e r a k a n
kapérang	k a p e r a ng
kapétung	k a p e t u ng
kara	k ox r ox
karabakh	k a r a b a kh
karabaté	k a r a b a t e
karachi	k a r a kh i
karadusana	k a r a d u s ox n ox
karaengta	k a r a ex ng t ox
karafuto	k a r a f u t o
karagujevac	k a r a g u j ex f a c
karaharjan	k a r a h a r j a n
karaih	k a r a i h
karajaan	k a r a j a a n
karajaanipun	k a r a j a a n i p u n
karajan	k a r a j a n
karajané	k a r a j a n e
karak	k ox r ox '
karakit	k a r a k i t
karakol	k a r a k o l
karakoram	k a r a k o r a m
karakorum	k a r a k o r u m
karakter	k a r a k t ex r
karakteripun	k a r a k t ex r i p u n
karakterisitik	k a r a k t ex r i s i t i '
karakteristik	k a r a k t ex r i s t i '
karakteristike	k a r a k t ex r i s t i k ex
karakteristikipun	k a r a k t ex r i s t i k i p u n
karakteristiké	k a r a k t ex r i s t i k e
karaktersitik	k a r a k t ex r s i t i '
karakyatane	k a r a k y a t a n ex
karam	k a r a m
karamah	k a r a m a h
karamahtamahan	k a r a m a h t a m a h a n
karamba	k ox r ox m b ox
karan	k a r a n
karana	k ox r ox n ox
karancuan	k a r a n c u a n
karang	k a r a ng
karangampel	k a r a ng a m p ex l
karangan	k a r a ng a n
karangane	k a r a ng a n ex
karanganipun	k a r a ng a n i p u n
karanganyar	k a r a ng a ny a r
karanganyarlambang	k a r a ng a ny a r l a m b a ng
karanganyarmotto	k a r a ng a ny a r m o t t o
karangané	k a r a ng a n e
karangasem	k a r a ng a s ex m
karangayung	k a r a ng a y u ng
karangbinangun	k a r a ng b i n a ng u n
karangbinanguniring	k a r a ng b i n a ng u n i r i ng
karangbolong	k a r a ng b o l o ng
karangdawa	k ox r ox ng d ox w ox
karanggayam	k a r a ng g a y a m
karangipun	k a r a ng i p u n
karangkates	k a r a ng k a t ex s
karangkobar	k a r a ng k o b a r
karangkum	k a r a ng k u m
karangpawitan	k a r a ng p a w i t a n
karangrayung	k a r a ng r a y u ng
karangreja	k a r a ng r ex j ox
karangtengah	k a r a ng t ex ng a h
karantam	k a r a n t a m
karaoke	k a r a o k ex
karaos	k a r a o s
karaosaken	k a r a o s a k ex n
karapan	k a r a p a n
karapetan	k a r a p ex t a n
kararangen	k a r a r a ng ex n
karasidenan	k a r a s i d ex n a n
karasulanipun	k a r a s u l a n i p u n
karat	k a r a t
karate	k a r a t ex
karater	k a r a t ex r
karaton	k a r a t o n
karatonan	k a r a t o n a n
karatoné	k a r a t o n e
karaté	k a r a t e
karawaci	k a r a w a c i
karawang	k a r a w a ng
karawanglambang	k a r a w a ng l a m b a ng
karawangmotto	k a r a w a ng m o t t o
karawitan	k a r a w i t a n
karbala	k ox r b ox l ox
karbaril	k a r b a r i l
karbit	k a r b i t
karbohidrat	k a r b o h i d r a t
karbohidratkarbohidrat	k a r b o h i d r a t k a r b o h i d r a t
karbokation	k a r b o k a t i o n
karboksilat	k a r b o k s i l a t
karbon	k a r b o n
karbonat	k a r b o n a t
karbondioksida	k a r b o n d i o k s i d ox
karbosilat	k a r b o s i l a t
karburator	k a r b u r a t o r
karcis	k a r c i s
kardama	k ox r d ox m ox
kardashian	k a r d a sy i a n
kardinal	k a r d i n a l
kardiologi	k a r d i o l o g i
kare	k a r ex
karebut	k a r ex b u t
karebute	k a r ex b u t ex
karebèn	k a r ex b e n
karedhok	k a r ex dh o '
kareem	k a r ex ex m
kareena	k a r ex ex n ox
kareksa	k a r ex k s ox
karel	k a r ex l
